,Unique_Advisor_Id,Unique_Investment_Id,Month,Shares,AUM,AT1,AT2,AT4,AT5,AT6,AT7,AT9,AT11,AT12,AT13,AT14,AT16,AT17,AT18,AT19,AT22,AT23,AT25,AT26,AT30,Morningstar Category,Investment,Rating,1 Yr % Rank,3 Yr % Rank,5 Yr % Rank,10 Yr % Rank,1 Yr Return,3 Yr Return,5 Yr Return,10 Yr Return,1 Yr Excess Return vs Primary Ix,3 Yr Excess Return vs Primary Ix,5 Yr Excess Return vs Primary Ix,10 Yr Excess Return vs Primary Ix,1 Yr Excess Return vs Category Ix,3 Yr Excess Return vs Category Ix,5 Yr Excess Return vs Category Ix,10 Yr Excess Return vs Category Ix,Net Flows,class_label
0,1000103,14142,2016-01-01,11648.1266666667,200464.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US Fund Large Value,Invesco Diversified Dividend A,5.0,3.0,4.0,9.0,5.0,1.530337,11.02614,10.482660000000001,7.154437,2.195646,-0.27499,-0.42477700000000007,0.671433,6.5296389999999995,2.235086,0.876458,1.961386,-1618909171.0,R
1,1000103,14142,2016-02-01,4286.613333333329,74587.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,US Fund Large Value,Invesco Diversified Dividend A,5.0,3.0,5.0,7.0,4.0,-0.9873059999999999,10.631704,10.065894,7.230045,5.203387,-0.120448,-0.0671,0.790261,8.419724,2.365364,1.256327,2.103643,-711996111.0,R
2,1000103,14142,2016-03-01,858.36,15819.574833333301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US Fund Large Value,Invesco Diversified Dividend A,5.0,4.0,6.0,6.0,5.0,4.933335,11.09782,11.503474,7.753195,3.150529,-0.723384,-0.0759,0.744942,6.474197,1.717614,1.257033,2.035355,93954610.0,R
3,1000103,14142,2016-04-01,858.36,16016.997666666699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US Fund Large Value,Invesco Diversified Dividend A,5.0,3.0,5.0,5.0,4.0,6.071884,10.950306,11.247107000000002,7.729046,4.865391000000001,-0.305245,0.23121599999999998,0.822074,6.475638,1.3591389999999999,1.121675,2.056718,-684760239.0,R
4,1000103,14142,2016-05-01,858.36,16059.915666666699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US Fund Large Value,Invesco Diversified Dividend A,5.0,4.0,4.0,7.0,5.0,5.338878,10.833542999999999,11.255828,7.949363000000001,3.622894,-0.224755,-0.40991400000000006,0.538718,5.396758,1.604493,0.555496,1.842916,116430216.0,R
5,1000103,14142,2016-06-01,847.225,16088.8028333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,US Fund Large Value,Invesco Diversified Dividend A,5.0,8.0,4.0,5.0,4.0,8.651313,11.651132,12.022701,8.180287,4.658673,-0.00506,-0.0771,0.756397,5.791165,1.784398,0.6711560000000001,2.050136,-517605336.0,H
6,1000103,14142,2016-07-01,847.225,16351.4425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,US Fund Large Value,Invesco Diversified Dividend A,5.0,17.0,5.0,6.0,4.0,7.015727,10.553227,13.20585,8.220661,1.401753,-0.604362,-0.173506,0.47341400000000006,1.631032,1.560624,0.456978,2.0415810000000003,-1406210000.0,R
7,1000103,14142,2016-07-01,847.225,16351.4425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,US Fund Large Value,Invesco Diversified Dividend A,5.0,17.0,5.0,6.0,4.0,7.015727,10.553227,13.20585,8.220661,1.401753,-0.604362,-0.173506,0.47341400000000006,1.631032,1.560624,0.456978,2.0415810000000003,-1406210000.0,R
8,1000103,14142,2016-08-01,847.225,16207.414333333301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US Fund Large Value,Invesco Diversified Dividend A,5.0,34.0,7.0,8.0,5.0,11.132508,11.442915,14.499616,7.860741,-1.420498,-0.8614809999999999,-0.185534,0.351476,-1.790028,0.753092,0.11268800000000001,1.776312,-426551313.0,H
9,1000103,14142,2016-08-01,847.225,16207.414333333301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,US Fund Large Value,Invesco Diversified Dividend A,5.0,34.0,7.0,8.0,5.0,11.132508,11.442915,14.499616,7.860741,-1.420498,-0.8614809999999999,-0.185534,0.351476,-1.790028,0.753092,0.11268800000000001,1.776312,-426551313.0,H
